job_title,job_description,required_skills,experience,education,responsibilities,salary,benefits,quality_score,quality_label,issues,clean_description
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 2 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",2 years,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",80000-130000,"Health insurance, annual bonus, professional development",98,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 2 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Data Scientist,"We are looking for a Data Scientist to join our team. The successful candidate will use Python, Pandas, Scikit-learn to support our projects and business goals. Candidates should have 5 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, Pandas, Scikit-learn, SQL",5 years,BS Data Science,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",70000-100000,"Medical insurance, flexible hours, paid vacation",87,Good,,we are looking for a data scientist to join our team the successful candidate will use python pandas scikit learn to support our projects and business goals candidates should have 5 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",2 years,BS Data Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",80000-130000,Not specified,69,Average,Experience requirement unclear,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Cybersecurity Analyst,"We are looking for a Cybersecurity Analyst to join our team. The successful candidate will use Network Security, Linux, SIEM to support our projects and business goals. Candidates should have 3 years of relevant experience and a BS Cybersecurity. Strong communication, problem-solving, and teamwork skills are expected.","Network Security, Linux, SIEM, Python",3 years,BS Cybersecurity,"Create user-focused designs, review feedback, and collaborate with developers.",80000-120000,"Health insurance, paid leave, annual bonus",86,Good,,we are looking for a cybersecurity analyst to join our team the successful candidate will use network security linux siem to support our projects and business goals candidates should have 3 years of relevant experience and a bs cybersecurity strong communication problem solving and teamwork skills are expected
Machine Learning Engineer,"We are looking for a Machine Learning Engineer to join our team. The successful candidate will use Python, TensorFlow, Scikit-learn to support our projects and business goals. Candidates should have 1 year of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, TensorFlow, Scikit-learn, SQL",1 year,BS Computer Science,"Create user-focused designs, review feedback, and collaborate with developers.",60000-100000,"Medical insurance, flexible hours, paid vacation",90,Good,,we are looking for a machine learning engineer to join our team the successful candidate will use python tensorflow scikit learn to support our projects and business goals candidates should have 1 year of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",2 years,BS Data Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",60000-100000,"Health insurance, paid leave, annual bonus",66,Average,Salary information missing,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Machine Learning Engineer,"We are looking for a Machine Learning Engineer to join our team. The successful candidate will use Python, TensorFlow, Scikit-learn to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, TensorFlow, Scikit-learn, SQL",2-3 years,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",50000-80000,"Health insurance, annual bonus, professional development",87,Good,,we are looking for a machine learning engineer to join our team the successful candidate will use python tensorflow scikit learn to support our projects and business goals candidates should have 2 3 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Business Analyst,"We are looking for a Business Analyst to join our team. The successful candidate will use SQL, Excel, Requirements Analysis to support our projects and business goals. Candidates should have 5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SQL, Excel, Requirements Analysis",5 years,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",80000-140000,"Health insurance, paid leave, annual bonus",95,Good,,we are looking for a business analyst to join our team the successful candidate will use sql excel requirements analysis to support our projects and business goals candidates should have 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Accountant,"We are looking for a Accountant to join our team. The successful candidate will use Excel, Accounting, QuickBooks to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Accounting. Strong communication, problem-solving, and teamwork skills are expected.","Excel, Accounting, QuickBooks",2 years,BS Accounting,"Create user-focused designs, review feedback, and collaborate with developers.",60000-110000,"Paid leave, training budget, performance bonus",87,Good,,we are looking for a accountant to join our team the successful candidate will use excel accounting quickbooks to support our projects and business goals candidates should have 2 years of relevant experience and a bs accounting strong communication problem solving and teamwork skills are expected
Web Developer,"We are hiring a Web Developer. The candidate should have knowledge of HTML, CSS. The role involves supporting company projects and completing assigned tasks.","HTML, CSS, JavaScript, React",Not specified,BS Computer Science,"Create user-focused designs, review feedback, and collaborate with developers.",60000-100000,"Paid leave, training budget, performance bonus",73,Average,Responsibilities are limited,we are hiring a web developer the candidate should have knowledge of html css the role involves supporting company projects and completing assigned tasks
Mobile App Developer,"We are looking for a Mobile App Developer to join our team. The successful candidate will use Kotlin, Java, Android Studio to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Kotlin, Java, Android Studio",2-3 years,BS Computer Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",80000-120000,"Health insurance, annual bonus, professional development",95,Good,,we are looking for a mobile app developer to join our team the successful candidate will use kotlin java android studio to support our projects and business goals candidates should have 2 3 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Network Administrator,"We are looking for a Network Administrator to join our team. The successful candidate will use Networking, Cisco, TCP/IP to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Networking, Cisco, TCP/IP, Linux",3-5 years,BS Computer Science,"Create user-focused designs, review feedback, and collaborate with developers.",50000-110000,"Paid leave, training budget, performance bonus",93,Good,,we are looking for a network administrator to join our team the successful candidate will use networking cisco tcp ip to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Mobile App Developer,"We are looking for a Mobile App Developer to join our team. The successful candidate will use Kotlin, Java, Android Studio to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Kotlin, Java, Android Studio",3-5 years,BS Computer Science,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",90000-140000,"Health insurance, annual bonus, professional development",87,Good,,we are looking for a mobile app developer to join our team the successful candidate will use kotlin java android studio to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Software Developer,"We are looking for a Software Developer to join our team. The successful candidate will use Python, Java, C++ to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, Java, C++, Git",2 years,BS Computer Science,"Create user-focused designs, review feedback, and collaborate with developers.",50000-100000,"Health insurance, paid leave, annual bonus",93,Good,,we are looking for a software developer to join our team the successful candidate will use python java c to support our projects and business goals candidates should have 2 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Sales Executive,We need a hardworking Sales Executive. Apply now.,"Sales, CRM, Communication, Negotiation",Not specified,Not specified,Not specified,Not specified,Not specified,25,Poor,"Skills, experience, education, responsibilities and salary missing",we need a hardworking sales executive apply now
Graphic Designer,"We are hiring a Graphic Designer. The candidate should have knowledge of Photoshop, Illustrator. The role involves supporting company projects and completing assigned tasks.","Photoshop, Illustrator, Canva",2 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",Not specified,"Health insurance, paid leave, annual bonus",78,Average,Salary information missing,we are hiring a graphic designer the candidate should have knowledge of photoshop illustrator the role involves supporting company projects and completing assigned tasks
Business Analyst,"We are looking for a Business Analyst to join our team. The successful candidate will use SQL, Excel, Requirements Analysis to support our projects and business goals. Candidates should have 5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SQL, Excel, Requirements Analysis",5 years,Bachelor degree,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",100000-150000,"Health insurance, paid leave, annual bonus",96,Good,,we are looking for a business analyst to join our team the successful candidate will use sql excel requirements analysis to support our projects and business goals candidates should have 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Sales Executive,We need a person who can do Sales Executive work. Contact us.,"Sales, CRM, Communication, Negotiation",Not specified,Not specified,Not specified,Not specified,Not specified,24,Poor,"Experience, education, salary and benefits missing",we need a person who can do sales executive work contact us
UI UX Designer,Looking for someone for a UI UX Designer position. Good opportunity.,"Figma, UI Design, UX Research, Prototyping",Not specified,Not specified,Not specified,Not specified,Not specified,37,Poor,Job responsibilities unclear and required skills missing,looking for someone for a ui ux designer position good opportunity
Cybersecurity Analyst,"We are hiring a Cybersecurity Analyst. The candidate should have knowledge of Network Security, Linux. The role involves supporting company projects and completing assigned tasks.","Network Security, Linux, SIEM, Python",1 year,BS Cybersecurity,"Support customers, resolve queries, document interactions, and maintain service quality.",60000-100000,"Medical insurance, flexible hours, paid vacation",67,Average,Education requirement missing,we are hiring a cybersecurity analyst the candidate should have knowledge of network security linux the role involves supporting company projects and completing assigned tasks
Network Administrator,"We are hiring a Network Administrator. The candidate should have knowledge of Networking, Cisco. The role involves supporting company projects and completing assigned tasks.","Networking, Cisco, TCP/IP, Linux",2 years,BS Computer Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",Not specified,"Medical insurance, flexible hours, paid vacation",70,Average,Benefits information missing,we are hiring a network administrator the candidate should have knowledge of networking cisco the role involves supporting company projects and completing assigned tasks
Marketing Manager,"We are looking for a Marketing Manager to join our team. The successful candidate will use SEO, Google Ads, Analytics to support our projects and business goals. Candidates should have 2 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SEO, Google Ads, Analytics, Communication",2 years,Bachelor degree,"Support customers, resolve queries, document interactions, and maintain service quality.",90000-130000,"Health insurance, paid leave, annual bonus",98,Good,,we are looking for a marketing manager to join our team the successful candidate will use seo google ads analytics to support our projects and business goals candidates should have 2 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Sales Executive,Looking for someone for a Sales Executive position. Good opportunity.,"Sales, CRM, Communication, Negotiation",Not specified,Not specified,Not specified,Not specified,Not specified,42,Poor,"Experience, education, salary and benefits missing",looking for someone for a sales executive position good opportunity
Customer Support Representative,"We are hiring a Customer Support Representative. The candidate should have knowledge of Communication, CRM. The role involves supporting company projects and completing assigned tasks.","Communication, CRM, Problem Solving",2 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",80000-130000,"Paid leave, training budget, performance bonus",65,Average,Salary information missing,we are hiring a customer support representative the candidate should have knowledge of communication crm the role involves supporting company projects and completing assigned tasks
Mobile App Developer,"We are hiring a Mobile App Developer. The candidate should have knowledge of Kotlin, Java. The role involves supporting company projects and completing assigned tasks.","Kotlin, Java, Android Studio",1 year,BS Computer Science,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",Not specified,Not specified,79,Average,Experience requirement unclear,we are hiring a mobile app developer the candidate should have knowledge of kotlin java the role involves supporting company projects and completing assigned tasks
Graphic Designer,"We are hiring a Graphic Designer. The candidate should have knowledge of Photoshop, Illustrator. The role involves supporting company projects and completing assigned tasks.","Photoshop, Illustrator, Canva",1 year,Bachelor degree,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",80000-130000,"Paid leave, training budget, performance bonus",69,Average,Benefits information missing,we are hiring a graphic designer the candidate should have knowledge of photoshop illustrator the role involves supporting company projects and completing assigned tasks
Cybersecurity Analyst,"We are hiring a Cybersecurity Analyst. The candidate should have knowledge of Network Security, Linux. The role involves supporting company projects and completing assigned tasks.","Network Security, Linux, SIEM, Python",Not specified,BS Cybersecurity,"Support customers, resolve queries, document interactions, and maintain service quality.",Not specified,"Health insurance, annual bonus, professional development",61,Average,Benefits information missing,we are hiring a cybersecurity analyst the candidate should have knowledge of network security linux the role involves supporting company projects and completing assigned tasks
Teacher,"We are looking for a Teacher to join our team. The successful candidate will use Teaching, Communication, Lesson Planning to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Teaching, Communication, Lesson Planning",3-5 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",60000-90000,"Health insurance, annual bonus, professional development",90,Good,,we are looking for a teacher to join our team the successful candidate will use teaching communication lesson planning to support our projects and business goals candidates should have 3 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Data Analyst,"We are looking for a Data Analyst to join our team. The successful candidate will use Python, SQL, Excel to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, SQL, Excel, Power BI",2-3 years,BS Data Science,"Create user-focused designs, review feedback, and collaborate with developers.",60000-90000,"Paid leave, training budget, performance bonus",85,Good,,we are looking for a data analyst to join our team the successful candidate will use python sql excel to support our projects and business goals candidates should have 2 3 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Project Manager,"We are looking for a Project Manager to join our team. The successful candidate will use Agile, Jira, Communication to support our projects and business goals. Candidates should have 5 years of relevant experience and a BS Management. Strong communication, problem-solving, and teamwork skills are expected.","Agile, Jira, Communication, Risk Management",5 years,BS Management,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",50000-100000,"Paid leave, training budget, performance bonus",96,Good,,we are looking for a project manager to join our team the successful candidate will use agile jira communication to support our projects and business goals candidates should have 5 years of relevant experience and a bs management strong communication problem solving and teamwork skills are expected
Software Developer,"We are looking for a Software Developer to join our team. The successful candidate will use Python, Java, C++ to support our projects and business goals. Candidates should have 3 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, Java, C++, Git",3 years,BS Computer Science,"Create user-focused designs, review feedback, and collaborate with developers.",100000-160000,"Medical insurance, flexible hours, paid vacation",92,Good,,we are looking for a software developer to join our team the successful candidate will use python java c to support our projects and business goals candidates should have 3 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Customer Support Representative,"We are looking for a Customer Support Representative to join our team. The successful candidate will use Communication, CRM, Problem Solving to support our projects and business goals. Candidates should have 3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Communication, CRM, Problem Solving",3 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",50000-110000,"Medical insurance, flexible hours, paid vacation",92,Good,,we are looking for a customer support representative to join our team the successful candidate will use communication crm problem solving to support our projects and business goals candidates should have 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Data Analyst,We need a hardworking Data Analyst. Apply now.,"Python, SQL, Excel, Power BI",Not specified,Not specified,Not specified,Not specified,Not specified,29,Poor,"Skills, experience, education, responsibilities and salary missing",we need a hardworking data analyst apply now
Marketing Manager,"We are looking for a Marketing Manager to join our team. The successful candidate will use SEO, Google Ads, Analytics to support our projects and business goals. Candidates should have 1 year of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SEO, Google Ads, Analytics, Communication",1 year,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",50000-100000,"Medical insurance, flexible hours, paid vacation",87,Good,,we are looking for a marketing manager to join our team the successful candidate will use seo google ads analytics to support our projects and business goals candidates should have 1 year of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",1 year,BS Data Science,"Support customers, resolve queries, document interactions, and maintain service quality.",80000-130000,Not specified,75,Average,Education requirement missing,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Accountant,We need a hardworking Accountant. Apply now.,"Excel, Accounting, QuickBooks",Not specified,Not specified,Not specified,Not specified,Not specified,39,Poor,Job responsibilities unclear and required skills missing,we need a hardworking accountant apply now
Cybersecurity Analyst,"We are looking for a Cybersecurity Analyst to join our team. The successful candidate will use Network Security, Linux, SIEM to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a BS Cybersecurity. Strong communication, problem-solving, and teamwork skills are expected.","Network Security, Linux, SIEM, Python",2-3 years,BS Cybersecurity,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",60000-100000,"Health insurance, annual bonus, professional development",93,Good,,we are looking for a cybersecurity analyst to join our team the successful candidate will use network security linux siem to support our projects and business goals candidates should have 2 3 years of relevant experience and a bs cybersecurity strong communication problem solving and teamwork skills are expected
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",2-3 years,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",70000-110000,"Health insurance, paid leave, annual bonus",91,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Business Analyst,"We are hiring a Business Analyst. The candidate should have knowledge of SQL, Excel. The role involves supporting company projects and completing assigned tasks.","SQL, Excel, Requirements Analysis",2 years,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-100000,"Health insurance, paid leave, annual bonus",60,Average,Salary information missing,we are hiring a business analyst the candidate should have knowledge of sql excel the role involves supporting company projects and completing assigned tasks
Data Analyst,"We are looking for a Data Analyst to join our team. The successful candidate will use Python, SQL, Excel to support our projects and business goals. Candidates should have 5 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, SQL, Excel, Power BI",5 years,BS Data Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",100000-160000,"Medical insurance, flexible hours, paid vacation",85,Good,,we are looking for a data analyst to join our team the successful candidate will use python sql excel to support our projects and business goals candidates should have 5 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
UI UX Designer,"We are looking for a UI UX Designer to join our team. The successful candidate will use Figma, UI Design, UX Research to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a BS Design. Strong communication, problem-solving, and teamwork skills are expected.","Figma, UI Design, UX Research, Prototyping",2-3 years,BS Design,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",50000-110000,"Health insurance, paid leave, annual bonus",97,Good,,we are looking for a ui ux designer to join our team the successful candidate will use figma ui design ux research to support our projects and business goals candidates should have 2 3 years of relevant experience and a bs design strong communication problem solving and teamwork skills are expected
Customer Support Representative,"We are hiring a Customer Support Representative. The candidate should have knowledge of Communication, CRM. The role involves supporting company projects and completing assigned tasks.","Communication, CRM, Problem Solving",Not specified,Bachelor degree,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",80000-130000,"Health insurance, paid leave, annual bonus",77,Average,Salary information missing,we are hiring a customer support representative the candidate should have knowledge of communication crm the role involves supporting company projects and completing assigned tasks
Cybersecurity Analyst,"We are looking for a Cybersecurity Analyst to join our team. The successful candidate will use Network Security, Linux, SIEM to support our projects and business goals. Candidates should have 3 years of relevant experience and a BS Cybersecurity. Strong communication, problem-solving, and teamwork skills are expected.","Network Security, Linux, SIEM, Python",3 years,BS Cybersecurity,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",70000-110000,"Health insurance, annual bonus, professional development",89,Good,,we are looking for a cybersecurity analyst to join our team the successful candidate will use network security linux siem to support our projects and business goals candidates should have 3 years of relevant experience and a bs cybersecurity strong communication problem solving and teamwork skills are expected
Database Administrator,"We are hiring a Database Administrator. The candidate should have knowledge of SQL, MySQL. The role involves supporting company projects and completing assigned tasks.","SQL, MySQL, PostgreSQL, Backup",1 year,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",80000-130000,Not specified,64,Average,Education requirement missing,we are hiring a database administrator the candidate should have knowledge of sql mysql the role involves supporting company projects and completing assigned tasks
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",Not specified,BS Data Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",80000-130000,Not specified,77,Average,Education requirement missing,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Customer Support Representative,Looking for someone for a Customer Support Representative position. Good opportunity.,"Communication, CRM, Problem Solving",Not specified,Not specified,Not specified,Not specified,Not specified,37,Poor,"Experience, education, salary and benefits missing",looking for someone for a customer support representative position good opportunity
Mobile App Developer,"We are hiring a Mobile App Developer. The candidate should have knowledge of Kotlin, Java. The role involves supporting company projects and completing assigned tasks.","Kotlin, Java, Android Studio",1 year,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",80000-130000,"Paid leave, training budget, performance bonus",72,Average,Education requirement missing,we are hiring a mobile app developer the candidate should have knowledge of kotlin java the role involves supporting company projects and completing assigned tasks
Network Administrator,"We are hiring a Network Administrator. The candidate should have knowledge of Networking, Cisco. The role involves supporting company projects and completing assigned tasks.","Networking, Cisco, TCP/IP, Linux",Not specified,BS Computer Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",Not specified,Not specified,63,Average,Salary information missing,we are hiring a network administrator the candidate should have knowledge of networking cisco the role involves supporting company projects and completing assigned tasks
Cybersecurity Analyst,We need a hardworking Cybersecurity Analyst. Apply now.,"Network Security, Linux, SIEM, Python",Not specified,Not specified,Not specified,Not specified,Not specified,26,Poor,"Skills, experience, education, responsibilities and salary missing",we need a hardworking cybersecurity analyst apply now
Machine Learning Engineer,"We are looking for a Machine Learning Engineer to join our team. The successful candidate will use Python, TensorFlow, Scikit-learn to support our projects and business goals. Candidates should have 1 year of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, TensorFlow, Scikit-learn, SQL",1 year,BS Computer Science,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",100000-160000,"Medical insurance, flexible hours, paid vacation",87,Good,,we are looking for a machine learning engineer to join our team the successful candidate will use python tensorflow scikit learn to support our projects and business goals candidates should have 1 year of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Teacher,"We are looking for a Teacher to join our team. The successful candidate will use Teaching, Communication, Lesson Planning to support our projects and business goals. Candidates should have 5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Teaching, Communication, Lesson Planning",5 years,Bachelor degree,"Support customers, resolve queries, document interactions, and maintain service quality.",50000-80000,"Health insurance, annual bonus, professional development",91,Good,,we are looking for a teacher to join our team the successful candidate will use teaching communication lesson planning to support our projects and business goals candidates should have 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",2-3 years,Bachelor degree,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",90000-150000,"Health insurance, paid leave, annual bonus",94,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Business Analyst,"We are hiring a Business Analyst. The candidate should have knowledge of SQL, Excel. The role involves supporting company projects and completing assigned tasks.","SQL, Excel, Requirements Analysis",2 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",60000-100000,"Health insurance, annual bonus, professional development",64,Average,Responsibilities are limited,we are hiring a business analyst the candidate should have knowledge of sql excel the role involves supporting company projects and completing assigned tasks
Business Analyst,"We are hiring a Business Analyst. The candidate should have knowledge of SQL, Excel. The role involves supporting company projects and completing assigned tasks.","SQL, Excel, Requirements Analysis",1 year,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",60000-100000,Not specified,69,Average,Responsibilities are limited,we are hiring a business analyst the candidate should have knowledge of sql excel the role involves supporting company projects and completing assigned tasks
Sales Executive,Looking for someone for a Sales Executive position. Good opportunity.,"Sales, CRM, Communication, Negotiation",Not specified,Not specified,Not specified,Not specified,Not specified,32,Poor,"Experience, education, salary and benefits missing",looking for someone for a sales executive position good opportunity
Mobile App Developer,"We are hiring a Mobile App Developer. The candidate should have knowledge of Kotlin, Java. The role involves supporting company projects and completing assigned tasks.","Kotlin, Java, Android Studio",2 years,BS Computer Science,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-100000,"Medical insurance, flexible hours, paid vacation",72,Average,Benefits information missing,we are hiring a mobile app developer the candidate should have knowledge of kotlin java the role involves supporting company projects and completing assigned tasks
Teacher,"We are hiring a Teacher. The candidate should have knowledge of Teaching, Communication. The role involves supporting company projects and completing assigned tasks.","Teaching, Communication, Lesson Planning",Not specified,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",80000-130000,"Health insurance, paid leave, annual bonus",70,Average,Benefits information missing,we are hiring a teacher the candidate should have knowledge of teaching communication the role involves supporting company projects and completing assigned tasks
Web Developer,"We are hiring a Web Developer. The candidate should have knowledge of HTML, CSS. The role involves supporting company projects and completing assigned tasks.","HTML, CSS, JavaScript, React",2 years,BS Computer Science,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",80000-130000,"Health insurance, paid leave, annual bonus",69,Average,Experience requirement unclear,we are hiring a web developer the candidate should have knowledge of html css the role involves supporting company projects and completing assigned tasks
Project Manager,We need a person who can do Project Manager work. Contact us.,"Agile, Jira, Communication, Risk Management",Not specified,Not specified,Not specified,Not specified,Not specified,41,Poor,"Skills, experience, education, responsibilities and salary missing",we need a person who can do project manager work contact us
Graphic Designer,"We are looking for a Graphic Designer to join our team. The successful candidate will use Photoshop, Illustrator, Canva to support our projects and business goals. Candidates should have 5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Photoshop, Illustrator, Canva",5 years,Bachelor degree,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",80000-130000,"Paid leave, training budget, performance bonus",91,Good,,we are looking for a graphic designer to join our team the successful candidate will use photoshop illustrator canva to support our projects and business goals candidates should have 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Teacher,"We are hiring a Teacher. The candidate should have knowledge of Teaching, Communication. The role involves supporting company projects and completing assigned tasks.","Teaching, Communication, Lesson Planning",1 year,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",80000-130000,"Medical insurance, flexible hours, paid vacation",75,Average,Responsibilities are limited,we are hiring a teacher the candidate should have knowledge of teaching communication the role involves supporting company projects and completing assigned tasks
Sales Executive,We need a person who can do Sales Executive work. Contact us.,"Sales, CRM, Communication, Negotiation",Not specified,Not specified,Not specified,Not specified,Not specified,45,Poor,"Skills, experience, education, responsibilities and salary missing",we need a person who can do sales executive work contact us
Data Analyst,"We are looking for a Data Analyst to join our team. The successful candidate will use Python, SQL, Excel to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, SQL, Excel, Power BI",3-5 years,BS Data Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",80000-120000,"Health insurance, paid leave, annual bonus",88,Good,,we are looking for a data analyst to join our team the successful candidate will use python sql excel to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
